"","PER2020f2","factorf1","PER2020m2","factorm0"
"1",2.176,0.035,2.193,0.035
"2",0.145,0.035,0.139,0.035
"3",0.124,0.035,0.12,0.035
"4",0.104,0.035,0.103,0.035
"5",0.087,0.035,0.088,0.035
"6",0.073,0.035,0.076,0.035
"7",0.063,0.035,0.067,0.035
"8",0.057,0.035,0.062,0.035
"9",0.053,0.0345211814285857,0.059,0.035
"10",0.053,0.0340770267226029,0.059,0.035
"11",0.054,0.0338322871023783,0.062,0.035
"12",0.054,0.0338322871023783,0.062,0.035
"13",0.058,0.0337131330277689,0.068,0.035
"14",0.064,0.0336363456799432,0.077,0.035
"15",0.07,0.0335335953386767,0.091,0.035
"16",0.077,0.0333664510780334,0.108,0.035
"17",0.085,0.0331292956451495,0.128,0.035
"18",0.093,0.0328424731617658,0.15,0.035
"19",0.102,0.0325410830373766,0.175,0.035
"20",0.109,0.0322641490241249,0.2,0.035
"21",0.114,0.032045680684553,0.223,0.035
"22",0.118,0.0319075145466148,0.243,0.035
"23",0.121,0.0318544619818603,0.258,0.035
"24",0.123,0.0318733843105707,0.27,0.035
"25",0.126,0.0319371458736739,0.278,0.035
"26",0.129,0.032012659038601,0.284,0.035
"27",0.133,0.0320703150361071,0.29,0.035
"28",0.138,0.0320910761697828,0.297,0.035
"29",0.145,0.0320684616191379,0.304,0.035
"30",0.153,0.0320044850258563,0.314,0.035
"31",0.163,0.0319010014031911,0.326,0.035
"32",0.175,0.0317504013865651,0.34,0.035
"33",0.188,0.0315308164110482,0.357,0.035
"34",0.204,0.031209623807149,0.376,0.035
"35",0.223,0.0307545903366294,0.398,0.035
"36",0.246,0.0301476207587833,0.425,0.035
"37",0.273,0.0293947224830791,0.457,0.035
"38",0.304,0.0285280145334027,0.496,0.035
"39",0.34,0.027599267010361,0.544,0.035
"40",0.38,0.026667219354814,0.604,0.035
"41",0.425,0.0257823973234209,0.676,0.035
"42",0.475,0.0249738520264008,0.762,0.035
"43",0.532,0.0242416779043742,0.861,0.0341872789497549
"44",0.596,0.0235577320019074,0.976,0.033247101358196
"45",0.666,0.0228744878668512,1.105,0.0321642438465331
"46",0.744,0.0221392201682804,1.251,0.0309182408505436
"47",0.828,0.0213089906031945,1.413,0.0294958495520197
"48",0.918,0.0203622067243076,1.592,0.0278983670992405
"49",1.016,0.0193045003581582,1.788,0.0261620356351192
"50",1.12,0.0181687231563292,2.003,0.0243863197438399
"51",1.23,0.0170100109582678,2.235,0.0226946952364594
"52",1.346,0.0158972619973776,2.486,0.021182141992445
"53",1.466,0.0149024616684398,2.755,0.0199180817421154
"54",1.591,0.0140894561374885,3.042,0.0189401036850932
"55",1.719,0.0135043023044024,3.345,0.0182420521112018
"56",1.849,0.013169343561891,3.665,0.0177714177553196
"57",1.981,0.0130822724272878,4,0.017453436493756
"58",2.113,0.0132200161538258,4.347,0.0172164074798684
"59",2.243,0.0135460388705992,4.702,0.0170193157729633
"60",2.371,0.0140191350381252,5.058,0.0168430893955508
"61",2.496,0.0146017376148829,5.416,0.0166898351325765
"62",2.51698004440781,0.0152659782880584,5.77655104303578,0.0165817423669496
"63",3.01304562996863,0.0159962371507025,6.60095747220594,0.0165527204525024
"64",3.52102457167997,0.016787804747391,7.40948500036158,0.0166339113931632
"65",4.00259535027059,0.0176423949096943,8.1944340492141,0.016839272510743
"66",4.42328763540351,0.0185620400121488,8.91088770355723,0.017177248103116
"67",4.79408067014895,0.0195431824129857,9.53099143853546,0.0176315959953438
"68",5.16328471059224,0.0205727080330948,10.0608572524464,0.0181654290365969
"69",5.59500185231018,0.0216270655099091,10.5521979827856,0.0187317674212805
"70",6.10303322226636,0.0226744803241368,11.0793694778657,0.0192827929948465
"71",6.70531999380935,0.0236792239572375,11.719090315452,0.0197880945497656
"72",7.39052596025094,0.024606337276231,12.6123513300014,0.0202149468456567
"73",8.1744208954197,0.0254252814270259,13.8680290740695,0.0205409437008763
"74",9.1278762142949,0.0261116358487644,15.5668915832616,0.0207659983873394
"75",10.2893531395828,0.0266468286063502,17.7221428418266,0.020898126602263
"76",11.6810091030994,0.0270166484266055,20.2844420696313,0.0209515892485744
"77",13.3545343273271,0.0272095619867302,23.2411105078135,0.020938863926935
"78",15.3747170308966,0.0272157473934023,26.6124431132252,0.0208645771253844
"79",17.7825427744779,0.0270273829250049,30.523289761917,0.0207233117936083
"80",20.5958305618055,0.0266401323820611,35.0816005254586,0.0204994400061202
"81",23.8725917221769,0.026055262612436,40.3523619383544,0.0201728372564484
"82",27.6278492765494,0.0252816125841852,46.2571190165302,0.0197242271557862
"83",31.957257364221,0.0243366169236985,52.8115286113471,0.0191354882165834
"84",36.8937283229135,0.023245850515601,59.9890911783783,0.0184044631159198
"85",42.5552164892002,0.0220410281280843,67.7223962626288,0.0175445605176198
"86",48.8811435898139,0.0207569576484417,75.8966738689483,0.0165819276935428
"87",56.5217902737701,0.0193164682557308,85.0348803483403,0.0154705035753681
"88",64.810886998553,0.017865444007649,94.3074800780162,0.0143365759393115
"89",73.4754250806467,0.0164363478707919,103.542412111511,0.0132064538761563
"90",82.4845765553089,0.0150542918626501,112.562488805247,0.012096020381726
"91",91.8716147942274,0.013736883049796,121.211641804866,0.0110200600250627
"92",101.475504767493,0.012494366268638,129.435549755865,0.00998974826655863
"93",111.037727814215,0.0113299353004609,138.64735273302,0.00900761967210807
"94",120.595487461935,0.0102404327800245,149.525,0.00807097581649341
"95",133.25183843559,0.00921771885083226,162.97448721884,0.00717963587709046
"96",146.349814146771,0.00825073175764893,176.803734118843,0.00633676369133312
"97",159.909232773363,0.00732788802855674,191.283580415112,0.00554195651483319
"98",174.489952051066,0.00643925027555044,206.909458562654,0.00498134142838811
"99",188.99683120837,0.00564416538605619,222.515796214515,0.00448134142838811
"100",204.588601483875,0.00514416538605619,239.353899755569,0.00398134142838811
"101",221.385730096539,0.00464416538605619,257.568740356422,0.00348134142838811
"102",239.526418917268,0.00414416538605619,277.327800764831,0.00298134142838811
"103",259.169753408419,0.00364416538605619,298.825228717654,0.00248134142838811
"104",280.499449903587,0.00314416538605619,322.286767498162,0.00198134142838811
"105",303.728285626558,0.00264416538605619,347.975529510638,0.00148134142838811
"106",329.1032696675,0.00214416538605619,376.198584879034,0.000981341428388106
"107",356.911538192078,0.00164416538605619,407.314113034688,0.000481341428388106
"108",387.48678099624,0.00114416538605619,441.738369078852,0
"109",421.215622651821,0.000644165386056187,479.950650794589,0
"110",458.542571198261,0.000144165386056187,522.49218210593,0
"111",499.97045429551,0,569.949976376882,0
"112",546.04971782708,0,622.906261879447,0
"113",597.342471240161,0,681.811147930008,0
"114",654.331152571067,0,746.686004346305,0
"115",717.207239490648,0,816.458330363995,0
"116",785.402483848181,0,887.536333613684,0
"117",856.584584458293,0,951.161218775337,0
"118",924.678550457669,0,991.409009902502,0
"119",1000,0,1000,0
"120",1000,0,1000,0
"121",1000,0,1000,0
