"","lpasem20f1","lpasem20m1","lpasem20ux1","lpasem20f2","lpasem20m2","lpasem20ux2"
"1",1e+06,1e+06,1e+06,1e+06,1e+06,1e+06
"2",998161.7933,997899.6104,998030.7019,998408.4791,998181.4809,998294.98
"3",998030.9225,997748.7376,997889.8287,998295.143,998050.8181,998172.9796
"4",997923.1918,997622.7886,997772.9876,998201.845,997941.7384,998071.7897
"5",997836.2093,997519.2276,997677.7146,998126.5144,997852.0465,997989.2776
"6",997766.1743,997434.0782,997600.1212,998065.8604,997778.2995,997922.0762
"7",997708.1205,997361.9239,997535.016,998015.5823,997715.8067,997865.6898
"8",997657.7101,997297.9366,997477.8159,997971.9234,997660.3867,997816.1495
"9",997611.3794,997238.0127,997424.6874,997931.7977,997608.4858,997770.1353
"10",997567.2934,997180.0259,997373.6497,997893.6157,997558.2621,997725.9314
"11",997523.8314,997121.861,997322.8348,997855.974,997507.8838,997681.9204
"12",997478.5974,997059.9672,997269.2692,997816.7973,997454.2753,997635.5265
"13",997429.1394,996990.1008,997209.6049,997773.962,997393.761,997583.8501
"14",997371.931,996905.5185,997138.7066,997724.4138,997320.5,997522.4432
"15",997303.9876,996798.806,997051.374,997665.5676,997228.0697,997446.8016
"16",997222.9318,996661.8359,996942.354,997595.3639,997109.4298,997352.3745
"17",997127.3834,996486.7834,996807.0423,997512.6071,996957.8011,997235.1733
"18",997018.1468,996269.6581,996643.844,997417.9934,996769.7249,997093.8154
"19",996897.4045,996010.967,996454.1015,997313.4127,996545.6376,996929.462
"20",996784.1158,995752.3849,996268.1337,997215.2864,996321.6368,996768.3741
"21",996674.1058,995488.5904,996081.1917,997119.9984,996093.1127,996606.4382
"22",996565.3857,995218.3633,995891.6699,997025.8263,995859.0078,996442.2636
"23",996456.6446,994941.2811,995698.7013,996931.6347,995618.9553,996275.0989
"24",996346.6488,994656.2202,995501.1063,996836.3548,995371.9813,996103.9219
"25",996235.1618,994363.9045,995299.1281,996739.7818,995118.712,995928.9431
"26",996122.1002,994065.0364,995093.0758,996641.8434,994859.7553,995750.43
"27",996007.7828,993761.3326,994883.9672,996542.8157,994596.598,995569.264
"28",995893.094,993456.3483,994674.0231,996443.4647,994332.3204,995387.369
"29",995778.6053,993153.4206,994465.1993,996344.2855,994069.8141,995206.4395
"30",995664.5789,992855.6346,994259.1717,996245.5053,993811.7529,995027.9277
"31",995550.9096,992565.3918,994057.0907,996147.0329,993560.2184,994852.8305
"32",995436.0628,992281.4429,993857.5656,996047.5388,993314.1288,994679.9432
"33",995318.2191,992001.8448,993658.7161,995945.447,993071.8005,994507.6367
"34",995194.6048,991722.4088,993457.0607,995838.3542,992829.6037,994332.894
"35",995061.1528,991436.3049,993247.149,995722.7366,992581.6181,994150.9921
"36",994912.4341,991134.4448,993021.7195,995593.8902,992319.9655,993955.6374
"37",994742.41,990807.3117,992772.991,995446.5824,992036.3946,993740.0856
"38",994546.6993,990448.9703,992495.8032,995277.0159,991725.7574,993499.8624
"39",994322.2971,990055.5758,992186.7298,995082.5857,991384.7171,993231.9956
"40",994067.9534,989625.3493,991844.2547,994862.2063,991011.7265,992935.168
"41",993783.1775,989156.4244,991467.1971,994615.4501,990605.1621,992608.3522
"42",993466.7743,988644.3596,991052.7337,994341.2785,990161.1667,992249.0964
"43",993116.8839,988082.2831,990596.4908,994038.0764,989673.7738,991853.604
"44",992712.7648,987431.6597,990068.8045,993687.8652,989109.5561,991396.153
"45",992243.4117,986667.8806,989451.8436,993281.0997,988447.1518,990861.2715
"46",991699.5543,985767.4045,988729.1715,992809.735,987666.113,990234.6901
"47",991073.4351,984708.2049,987885.8585,992267.0336,986747.2907,989503.4373
"48",990355.6828,983465.6678,986904.8632,991644.8546,985669.2732,988652.7
"49",989532.8164,982009.0088,985763.9872,990931.4888,984405.2707,987663.1791
"50",988593.323,980312.4195,984444.4913,990116.9249,982932.7779,986518.5574
"51",987522.8392,978346.55,982924.4178,989188.6707,981226.1768,985199.7037
"52",986308.8771,976086.0212,981184.71,988135.8483,979263.2483,983689.9765
"53",984983.5025,973588.1947,979270.0285,986986.2122,977093.5885,982028.0109
"54",983541.9374,970839.5642,977171.0912,985735.5662,974705.2536,980205.6311
"55",981981.9866,967827.2869,974880.2068,984381.9471,972086.8366,978216.0219
"56",980303.3132,964537.8217,972390.2219,982924.9982,969226.2802,976052.8141
"57",978506.0537,960955.998,969693.3541,981364.7679,966110.06,973709.0689
"58",976589.2164,957064.3136,966780.0327,979700.3199,962722.5645,971176.267
"59",974549.573,952843.4229,963638.5847,977928.7692,959046.5082,968444.0306
"60",972380.8088,948272.9045,960255.1934,976044.5404,955063.588,965500.0795
"61",970072.897,943331.9498,956613.9333,974038.8196,950755.0707,962330.2539
"62",967611.9684,938000.125,952697.0926,971899.4347,946102.4464,958918.7854
"63",964980.3208,932257.2108,948485.1028,969610.856,941087.2769,955248.2256
"64",962156.4975,926081.406,943955.6723,967154.2555,935689.6144,951298.6781
"65",959115.9638,919447.8259,939083.3566,964508.0847,929886.667,947047.4077
"66",955831.5457,912326.8117,933838.9031,961648.4458,923651.2888,942468.2475
"67",952273.7075,904682.5804,928188.6763,958549.3201,916950.7545,937531.0709
"68",948410.081,896472.4314,922093.9873,955182.144,909746.0057,932201.172
"69",944203.4536,887645.4563,915509.4086,951514.0362,901990.4462,926437.7495
"70",939609.0578,878141.7666,908381.0125,947505.4056,893629.1681,920192.3061
"71",934571.3604,867892.3692,900644.7079,943107.1082,884598.7253,913407.1144
"72",929020.6905,856818.1926,892224.0769,938257.4406,874826.1302,906013.2149
"73",922870.597,844829.3864,883028.7195,932879.7432,864228.0544,897928.8256
"74",916017.3436,831824.9365,872953.8002,926881.8372,852710.2592,889058.7631
"75",908343.1273,817694.5917,861882.5773,920158.6883,840169.0236,879296.4481
"76",899722.194,802321.221,849690.5136,912597.5862,826492.9114,868527.2726
"77",890025.5286,785584.193,836249.193,904082.0637,811565.4069,856631.7741
"78",879118.9425,767362.2145,821426.806,894489.9959,795267.0307,843485.7437
"79",866852.8117,747535.4113,805084.3713,883684.2822,777476.7304,828956.4785
"80",853050.1199,725989.4691,787072.46,871501.862,758075.0594,812899.3402
"81",837496.9958,702619.8831,767229.4394,857744.6819,736947.4226,795155.4903
"82",819941.6468,677337.9689,745384.8691,842177.7774,713988.8947,775554.0347
"83",800086.0197,650053.4244,721346.9797,824520.5522,689087.667,753899.6505
"84",777615.4702,620703.6258,694933.0595,804471.377,662150.7079,729998.4232
"85",752222.2727,589264.58,665987.0588,781726.6299,633113.1601,703672.3834
"86",723633.4296,555762.5276,634399.342,756003.5294,601948.6407,674776.1679
"87",691641.4672,520288.1527,600129.0031,727065.8236,568682.4598,643216.4272
"88",656136.5296,483011.5399,563226.9501,694751.1721,533406.3769,608972.6978
"89",617135.6409,444194.1036,523855.7962,658996.9288,496291.7105,572116.498
"90",574808.9479,404198.1509,482306.8725,619864.6521,457601.7493,532829.3492
"91",529501.3554,363491.6029,439012.2609,577562.5107,417701.4968,491418.2697
"92",481742.0956,322641.0664,394544.6243,532459.2933,377058.3403,448322.2945
"93",432240.6326,282292.7615,349603.7362,485088.8048,336232.7742,404108.8986
"94",381862.4367,243135.7803,304983.4945,436138.3999,295852.6621,359453.6736
"95",331591.8485,205856.117,261527.2529,386427.7582,256577.625,315109.4793
"96",282484.0894,171084.8146,220074.175,336879.0197,219054.934,271866.1309
"97",235608.826,139351.234,181404.504,288479.4267,183876.3243,230506.7036
"98",191988.5117,111052.1743,146192.4458,242238.12,151546.3756,191768.0144
"99",152519.9795,86431.8484,114960.0304,199122.3411,122457.2745,156296.9004
"100",117887.6229,65572.1898,88035.8197,159975.8074,96869.2946,124603.8172
"101",88487.7885,48394.5606,65527.0941,125433.6865,74898.4026,97020.8579
"102",64388.1297,34674.1553,47315.1024,95856.3029,56513.5158,73674.4719
"103",45864.9904,24360.1433,33472.2474,71981.0778,41959.1902,55012.3539
"104",30575.161,16006.9359,22154.0971,51205.2808,29502.0447,38907.0536
"105",18312.2439,9431.9026,13161.3503,33424.2142,19010.0061,25233.3969
"106",9216.5931,4652.7804,6558.3314,19050.4195,10670.3315,14272.7591
"107",3503.9205,1721.6965,2460.0671,8827.1107,4850.4838,6550.7101
"108",855.8385,403.8103,588.9324,3051.289,1635.9027,2236.8656
"109",94.6438,41.1577,62.5768,701.6275,363.8974,505.9667
"110",0,0,0,90.8317,44.8278,63.9154
"111",0,0,0,5.2346,2.3567,3.5218
"112",0,0,0,0,0,0
"113",0,0,0,0,0,0
"114",0,0,0,0,0,0
"115",0,0,0,0,0,0
"116",0,0,0,0,0,0
"117",0,0,0,0,0,0
"118",0,0,0,0,0,0
"119",0,0,0,0,0,0
"120",0,0,0,0,0,0
"121",0,0,0,0,0,0
